t (ms),Ina (pA)
3.74,-42.21485544
3.75,-41.90353071
3.76,-41.59499979
3.77,-41.28923761
3.78,-40.98621934
3.79,-40.68592035
3.8,-40.38831625
3.81,-40.09338285
3.82,-39.8010962
3.83,-39.51143254
3.84,-39.22436834
3.85,-38.93988028
3.86,-38.65794524
3.87,-38.37854032
3.88,-38.1016428
3.89,-37.8272302
3.9,-37.55528022
3.91,-37.28577076
3.92,-37.01867991
3.93,-36.75398599
3.94,-36.49166747
3.95,-36.23170305
3.96,-35.9740716
3.97,-35.71875219
3.98,-35.46572407
3.99,-35.21496668
4,-34.96645964
4.01,-34.72018276
4.02,-34.47611603
4.03,-34.23423962
4.04,-33.99453386
4.05,-33.75697929
4.06,-33.52155659
4.07,-33.28824665
4.08,-33.05703049
4.09,-32.82788933
4.1,-32.60080455
4.11,-32.37575769
4.12,-32.15273048
4.13,-31.93170477
4.14,-31.71266262
4.15,-31.49558622
4.16,-31.28045794
4.17,-31.06726028
4.18,-30.85597593
4.19,-30.64658772
4.2,-30.43907862
4.21,-30.23343178
4.22,-30.02963048
4.23,-29.82765817
4.24,-29.62749843
4.25,-29.42913498
4.26,-29.23255173
4.27,-29.03773268
4.28,-28.844662
4.29,-28.65332401
4.3,-28.46370316
4.31,-28.27578403
4.32,-28.08955136
4.33,-27.90499001
4.34,-27.72208498
4.35,-27.54082141
4.36,-27.36118457
4.37,-27.18315985
4.38,-27.0067328
4.39,-26.83188907
4.4,-26.65861445
4.41,-26.48689487
4.42,-26.31671637
4.43,-26.14806511
4.44,-25.98092739
4.45,-25.81528964
4.46,-25.65113838
4.47,-25.48846028
4.48,-25.32724212
4.49,-25.16747079
4.5,-25.00913331
4.51,-24.85221682
4.52,-24.69670856
4.53,-24.54259589
4.54,-24.38986629
4.55,-24.23850735
4.56,-24.08850677
4.57,-23.93985235
4.58,-23.79253201
4.59,-23.64653379
4.6,-23.50184581
4.61,-23.35845633
4.62,-23.21635368
4.63,-23.07552631
4.64,-22.93596279
4.65,-22.79765177
4.66,-22.66058201
4.67,-22.52474237
4.68,-22.39012181
4.69,-22.2567094
4.7,-22.12449428
4.71,-21.99346571
4.72,-21.86361305
4.73,-21.73492574
4.74,-21.60739332
4.75,-21.48100543
4.76,-21.3557518
4.77,-21.23162225
4.78,-21.10860669
4.79,-20.98669512
4.8,-20.86587764
4.81,-20.74614442
4.82,-20.62748574
4.83,-20.50989196
4.84,-20.3933535
4.85,-20.27786092
4.86,-20.16340481
4.87,-20.04997588
4.88,-19.93756491
4.89,-19.82616277
4.9,-19.71576039
4.91,-19.60634881
4.92,-19.49791913
4.93,-19.39046255
4.94,-19.28397034
4.95,-19.17843382
4.96,-19.07384444
4.97,-18.97019368
4.98,-18.86747314
4.99,-18.76567445
5,-18.66478934
5.01,-18.56480962
5.02,-18.46572716
5.03,-18.36753391
5.04,-18.27022189
5.05,-18.17378318
5.06,-18.07820996
5.07,-17.98349445
5.08,-17.88962896
5.09,-17.79660586
5.1,-17.70441759
5.11,-17.61305666
5.12,-17.52251563
5.13,-17.43278716
5.14,-17.34386396
5.15,-17.25573878
5.16,-17.16840448
5.17,-17.08185396
5.18,-16.99608018
5.19,-16.91107616
5.2,-16.82683501
5.21,-16.74334988
5.22,-16.66061398
5.23,-16.57862058
5.24,-16.49736303
5.25,-16.41683472
5.26,-16.3370291
5.27,-16.25793969
5.28,-16.17956007
5.29,-16.10188386
5.3,-16.02490475
5.31,-15.94861648
5.32,-15.87301285
5.33,-15.79808773
5.34,-15.72383501
5.35,-15.65024867
5.36,-15.57732273
5.37,-15.50505125
5.38,-15.43342837
5.39,-15.36244826
5.4,-15.29210516
5.41,-15.22239335
5.42,-15.15330716
5.43,-15.08484099
5.44,-15.01698925
5.45,-14.94974645
5.46,-14.88310711
5.47,-14.81706582
5.48,-14.75161722
5.49,-14.68675598
5.5,-14.62247683
5.51,-14.55877455
5.52,-14.49564396
5.53,-14.43307994
5.54,-14.37107739
5.55,-14.30963128
5.56,-14.24873661
5.57,-14.18838843
5.58,-14.12858185
5.59,-14.069312
5.6,-14.01057406
5.61,-13.95236325
5.62,-13.89467486
5.63,-13.83750419
5.64,-13.78084659
5.65,-13.72469747
5.66,-13.66905224
5.67,-13.61390641
5.68,-13.55925547
5.69,-13.505095
